itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
20-0-0-0096-0|Siebaufnahme U-Profil Y-Achse 50x70|U-profile adapter bar 50x70|ST|8|28,6495|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0187-0|Siebaufnahme U-Profil Y-Achse 70x100|U-profile adapter bar 70x100|ST|8|41,23438|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
20-0-0-0201-0|Option Stehermontage Pro Iron|option stayer mounting Pro Iron|ST|4|227,15|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ-2 US;50x70;70x100;80x110;80x120;90x120;70x120;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
20-0-0-0204-0|Siebrahmen Hix Reten 23x33''|screen frame Hix Reten 23x33'' with teflon|ST|4|92,536|SPSX;SPXC;SP5000 Manuell;SPiQ-2 US;80x120;90x120;70x120;50x70;70x100;80x110;43x50;45x55;45x70;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
20-0-0-0212-0|Siebaufnahme U-Profil Y-Achse 80x110|U-profile adapter bar 80x110|ST|8|42,4605|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
20-0-0-0644-0|Aufziehautomat|upload unit|ST|7|5547,69|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100
20-0-0-0644-1|Abziehautomat|unload unit|ST|7|2741,57|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100
20-0-0-0674-0|Siebaufnahme Passerschrauben 50x70|pass-screw adapter bar 50x70|ST|8|10,718|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0675-0|Siebaufnahme Passerschrauben 70x100|pass-screw adapter bar 70x100|ST|8|17,72375|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
20-0-0-0676-0|Siebaufnahme Passerschrauben 80x110|pass-screw adapter bar 80x110|ST|8|21,113|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
20-0-0-0702-0|Siebaufnahme Ind. Off-Cont. RF 70x100 hinten|ind. off-contact RF 70x100 rear|ST|8|81,838|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100
20-0-0-0703-0|Siebaufnahme Ind. Off-Cont. RF 70x100 vorne|ind. off-contact RF 70x100 front|ST|8|77,979|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100
20-0-0-0704-0|Siebaufnahme Ind. Off-Cont. RF 50x70 hinten|ind. off-contact RF 50x70 rear|ST|8|66,30889|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0705-0|Siebaufnahme Ind. Off-Cont. RF 50x70 vorne|ind. off-contact RF 50x70 front|ST|8|70,22444|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0706-0|Siebaufnahme Rollerframe 80x110 hinten|rollerframe adapter bar 80x110 rear|ST|8|0,0|SP5000 Manuell;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM;SP5000 AUTO;SP5000 Manuell VAKUUM
20-0-0-0707-0|Siebaufnahme Ind. Off-Cont. RF 80x110 vorne|ind. off-contact RF 80x110 front|ST|8|128,674|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100;80x110
20-0-0-0708-0|Siebaufnahme Rollerframe 80x110 vorne|rollerframe adapter bar 80x110 front|ST|8|0,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
20-0-0-0709-0|Siebaufnahme Rollerframe 70x100 hinten|rollerframe adapter bar 70x100 rear|ST|8|0,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100
20-0-0-0710-0|Siebaufnahme Rollerframe 70x100 vorne|rollerframe adapter bar 70x100 front|ST|8|0,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100
20-0-0-0711-0|Siebaufnahme Rollerframe 50x70 hinten|rollerframe adapter bar 50x70 rear|ST|8|19,46|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0712-0|Siebaufnahme Rollerframe 50x70 vorne|rollerframe adapter bar 50x70 front|ST|8|19,485|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0713-0|Siebaufnahme Ind. Off-Cont. Passer 70x100 hinten|ind. off-contact pass-screw adapter 70x100 rear|ST|8|43,85714|SP5000 Manuell;70x100;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SP5000 Manuell US;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
20-0-0-0714-0|Siebaufnahme Ind. Off-Cont. Passer 70x100 vorne|ind. off-contact pass-screw adapter 70x100 front|ST|8|59,29643|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100
20-0-0-0715-0|Siebaufnahme Ind. Off-Cont. Passer 50x70 hinten|ind. off-contact pass-screw adapter 50x70 rear|ST|8|50,59833|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US
20-0-0-0715-1|Siebaufnahme Ind. Off-Cont. Passer 50x70 hinten IT|ind. off-contact pass-screw adapter 50x70 rear IT|ST|8|91,82|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0716-0|Siebaufnahme Ind. Off-Cont. Passer 50x70 vorne|ind. off-contact pass-screw adapter 50x70 front|ST|8|52,81|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0716-1|Siebaufnahme Ind. Off-Cont. Passer 50x70 vorne IT|ind. off-contact pass-screw adapter 50x70 front IT|ST|8|76,73|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0829-0|Siebaufnahme Passerschrauben 50x70 IT|pass-screw adapter bar 50x70 IT|ST|8|9,51563|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0899-0|Siebaufnahme Ind. Off-Cont. RF 80x110 hinten|ind. off-contact RF 80x110 rear|ST|8|114,946|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100;80x110
20-0-0-0906-0|Siebaufnahme U-Profil pneumatisch 50x70 SP5000|U-profile adapter bar pneumatic 50x70 SP5000|ST|8|103,23625|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;50x70
20-0-0-0988-0|Siebaufnahme Passerschrauben 80x110 IT|pass-screw adapter bar 80x110 IT|ST|8|11,99875|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;80x110
20-0-0-0989-0|Siebaufnahme Ind. Off-Cont. Passer 70x100 hinten I|ind. off-contact pass-screw adapter 70x100 rear IT|ST|8|54,64|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO US;SP5000 AUTO VAKUUM US;70x100;SP5000 AUTO VAKUUM;SP5000 Manuell US;SP5000 Manuell VAKUUM US
20-0-0-0990-0|Siebaufnahme Ind. Off-Cont. Passer 70x100 vorne IT|ind. off-contact pass-screw adapter 70x100 front I|ST|8|66,43167|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 AUTO VAKUUM US;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US
20-0-0-3072-0|Hilfsrahmen fahrbar 50x70|trolley frame portable 50x70|ST|5|292,48667|SPSX;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ COMPACT US;SPiQ COMPACT AUTO US;45x55;45x70;50x70;SPiQ-2 US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ-2
20-0-0-3072-1|Hilfsrahmen fahrbar 70x100|trolley frame portable 70x100|ST|5|378,92333|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ AUTO US;70x100;80x110;SPiQ-2 US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US
20-0-0-9191-0|3-Pin-Positionierung SP5000|3-pin position control SP5000|ST|7|625,0|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100
30-0-0-0212-0|Verdickungsmittel Ecosol LCA|thickener ecosol LCA|VE|10|27,7|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
30-0-0-0248-0|Grundfarbe WEISS Ecosol E1 DTG 281|basic colour WHITE Ecosol E1 DTG 281|VE|10|124,09021|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
30-0-0-0249-0|Farbe CYAN Ecosol E1 DTG|colour CYAN Ecosol E1 DTG|VE|10|44,70149|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
30-0-0-0250-0|Farbe MAGENTA Ecosol E1 DTG|colour MAGENTA Ecosol E1 DTG|VE|10|40,91713|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SPiQ-2 US;50x70;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
30-0-0-0251-0|Farbe GELB Ecosol E1 DTG|colour YELLOW Ecosol E1 DTG|VE|10|44,45704|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;45x70;50x70;SPiQ-2 US;SPiQ COMPACT AUTO US;43x50;45x55;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell US;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO
30-0-0-0252-0|Farbe SCHWARZ Ecosol E1 DTG|colour BLACK Ecosol E1 DTG|VE|10|40,78|SPSX;SPXC;SP5000 Manuell;SPiQ-2 US;45x70;50x70;SPiQ COMPACT AUTO US;43x50;45x55;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPSXLF;SPSXLS;SPiQ-2;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SP5000 AUTO VAKUUM;SPiQ;SP5000 AUTO;SP5000 Manuell VAKUUM
30-0-0-0262-0|Grundfarbe TRANSPARENT Ecosol E1 DTG 281|basic colour CLEAR Ecosol E1 DTG 281|VE|10|82,335|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SPiQ-2 US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;50x70;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
30-0-0-0263-0|Grundfarbe SUEDE Ecosol E1|basic colour SUEDE Ecosol E1|VE|10|84,98263|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
30-0-0-0264-0|Grundfarbe CRACKING WHITE Ecosol E1|basic colour CRACKING WHITE Ecosol E1|VE|10|86,57333|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
30-0-0-0266-0|Grundfarbe MATT TC Ecosol E1|basic colour MATTE TC Ecosol E1|VE|10|76,18444|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;45x55;45x70;50x70;SPiQ-2 US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO
30-0-0-0287-0|Grundfarbe GRAU Ecosol E1 DTG 281|"basic colour GREY Ecosol E1 for digital printing
"|VE|10|71,52857|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ-2 US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;50x70;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPSXLS;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
30-0-0-0293-0|Grundfarbe TRANSPARENT Ecosol E1 DTG PT|basic colour CLEAR Ecosol E1 DTG PT|VE|10|80,97|SPSX;SPXC;SP5000 Manuell;SPiQ-2 US;50x70;43x50;45x55;45x70;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
VAK104253|Alu-Vakuumpalette 75x120cm_600|alu-vacuum pallet 75x120cm_600|ST|3|0,0|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;70x100;80x110
VAK104361|Alu-Vakuumpalette 55x100cm SP5000|alu-vacuum pallet 55x100cm|ST|3|348,568|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;80x110;SP5000 AUTO VAKUUM US;50x70;SP5000 Manuell VAKUUM US
VAK104365|Alu-Vakuumpalette 55x100cm SPSX|alu-vacuum pallet 55x100cm SPSX|ST|3|375,99|Single Print WAND;50x70;70x100;80x110;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM
VAK104844|Alu-Vakuumpalette 85x140cm|alu-vacuum pallet 85x140cm|ST|3|442,91|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 AUTO VAKUUM US;80x110;SP5000 Manuell VAKUUM US
VAK105824|Alu-Vakuumpalette 45x100cm SP4000|alu-vacuum pallet 45x100cm|ST|3|13,73632|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100;80x110
VAK105829|Alu-Vakuumpalette 26x100cm T-Form|alu-vacuum pallet 26x100cm T-shape|ST|3|527,04|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70;70x100;80x110
