itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
ZUB000007|MHM Flock Modul FM 130-330|MHM flocking unit FM 130-330|ST|9|5275,48|SPSX;SPXC;SP5000 Manuell;SPiQ-2 US;50x70;43x50;45x55;45x70;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
ZUB000012|Trockner QC 4355 HTL 3x400V|flash cure unit QC 4355 HTL 3x400V|ST|5|1112,6375|SPXC;43x50
ZUB000012-2|Trockner QC 4355 HTL 3x210V|flash cure unit QC 4355 HTL 3x210V|ST|5|2025,0|SPXC;43x50
ZUB000013|Trockner QC 4355 MW 3x400V|flash cure unit QC 4355 MW 3x400V|ST|5|1910,69|SPXC;43x50
ZUB000013-2|Trockner QC 4355 MW 3x210V|flash cure unit QC 4355 MW 3x210V|ST|5|1922,16|SPXC;43x50
ZUB000014|Trockner QC 4661 HTL 3x400V|flash cure unit QC 4661 HTL 3x400V|ST|5|1278,015|SPSX;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLS;45x55;45x70
ZUB000014-2|Trockner QC 4661 HTL 3x210V|flash cure unit QC 4661 HTL 3x210V|ST|5|1068,77167|SPSX;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLS;SPiQ COMPACT US;SPiQ COMPACT AUTO US;45x55;45x70
ZUB000015|Trockner QC 4661 MW 3x400V|flash cure unit QC 4661 MW 3x400V|ST|5|1883,955|SPSX;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLS;45x55;45x70
ZUB000015-2|Trockner QC 4661 MW 3x210V|flash cure unit QC 4661 MW 3x210V|ST|5|1753,82|SPSX;SPiQ COMPACT;45x55;45x70;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SPiQ COMPACT AUTO;SPSXLS
ZUB000016|Trockner QC 4170 HTL 3x400V|flash cure unit QC 4170 HTL 3x400V|ST|5|1041,71|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;50x70;SPSXLF;SPiQ-2
ZUB000016-2|Trockner QC 4170 HTL 3x210V|flash cure unit QC 4170 HTL 3x210V|ST|5|960,90444|SP5000 Manuell;SP5000 AUTO;SPiQ-2 US;50x70;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SPiQ AUTO;SPSXLF;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB000017|Trockner QC 4170 MW 3x400V|flash cure unit QC 4170 MW 3x400V|ST|5|2239,69375|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPSXLF;SPiQ-2;50x70
ZUB000017-2|Trockner QC 4170 MW 3x210V|flash cure unit QC 4170 MW 3x210V|ST|5|2269,74|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ-2 US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;50x70;SPSXLF;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB000019|Trockner QC 5069 MW 3x400V|flash cure unit QC 5069 MW 3x400V|ST|5|2428,93|SP5000 Manuell;SP5000 AUTO;50x70;SPiQ-2;SPiQ AUTO;SPSXLF;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB000019-2|Trockner QC 5069 MW 3x210V|flash cure unit QC 5069 MW 3x210V|ST|5|2420,65|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ US;SPiQ AUTO US;50x70;SPiQ-2 US;SPSXLF;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB000021|Trockner QC 4669 MW 3x400V|flash cure unit QC 4669 MW 3x400V|ST|5|2428,78|SPSX;45x55;45x70;SPSXLS;SPiQ COMPACT;SPiQ COMPACT AUTO
ZUB000021-2|Trockner QC 4669 MW 3x210V|flash cure unit QC 4669 MW 3x210V|ST|5|2995,0|SPSX;45x70;SPiQ COMPACT US;SPiQ COMPACT AUTO US;45x55;SPiQ COMPACT AUTO;SPSXLS;SPiQ COMPACT
ZUB000022|Trockner QC 70100 HTL 3x400V|flash cure unit QC 70100 HTL 3x400V|ST|5|2089,56|SP5000 Manuell;SP5000 AUTO;80x110;70x100;SPiQ-2;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB000022-2|Trockner QC 70100 HTL 3x210V|flash cure unit QC 70100 HTL 3x210V|ST|5|3295,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;80x110;SPiQ-2 US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB000023|Trockner QC 70100 MW 3x400V|flash cure unit QC 70100 MW 3x400V|ST|5|5700,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;80x110;SPiQ;SPiQ-2
ZUB000023-2|Trockner QC 70100 MW 3x210V|flash cure unit QC 70100 MW 3x210V|ST|5|5700,0|SP5000 Manuell;SP5000 AUTO;70x100;80x110;SPiQ-2 US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB000025|Trockner QC 4646 HTL 3x400V|flash cure unit QC 4646 HTL 3x400V|ST|5|1795,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ-2;SPiQ US;43x50;45x55;45x70;50x70;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB000025-2|Trockner QC 4646 HTL 3x210V|flash cure unit QC 4646 HTL 3x210V|ST|5|1795,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB000028|Trockner QC 6080 MW 3x400V|flash cure unit QC 6080 MW 3x400V|ST|5|4425,0|SP5000 Manuell VAKUUM;50x70;SP5000 AUTO VAKUUM
ZUB000028-2|Trockner QC 6080 MW 3x210V|flash cure unit QC 6080 MW 3x210V|ST|5|1450,0|SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70
ZUB000029|Trockner QC 8044 MW 3x400V fahrbar|flash cure unit QC 8044 MW 3x400V moveable|ST|5|3750,69|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ-2;80x110;80x120
ZUB000029-2|Trockner QC 8044 MW 3x210V fahrbar|flash cure unit QC 8044 MW 3x210V moveable|ST|5|0,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ-2 US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;80x110;80x120;SPiQ AUTO;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US
ZUB000030|Trockner QC 4646 MW 3x400V|flash cure unit QC 4646 MW 3x400V|ST|5|1971,05|SPSX;SPXC;SP5000 Manuell;45x70;50x70;SPiQ-2;43x50;45x55;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
ZUB000030-2|Trockner QC 4646 MW 3x210V|flash cure unit QC 4646 MW 3x210V|ST|5|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB000031|MHM Flock Modul FM 130-600|MHM flocking unit FM 130-600|ST|9|12540,13|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;45x70;50x70;SPiQ-2 US;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US
ZUB000046|Trockner UV 50x70|flash cure unit UV 50x70cm|ST|5|0,0|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;50x70
ZUB000047|Trockner UV 70100 [gesperrt]|flash cure unit UV 70x100cm|ST|5|0,0|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US;70x100
ZUB000049|MHM Foil Unit S|MHM Foil Unit S|ST|4|2677,13|SPSX;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT AUTO US;45x55
ZUB101011|Alu-Einlegerahmen 50x70cm|alu insert frame 50x70cm|ST|4|7,925|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;50x70;SPiQ-2 US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;45x70;SPiQ AUTO;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell US
ZUB101012|Alu-Einlegerahmen 70x100cm|alu insert frame 70x100cm|ST|4|11,77|SP5000 Manuell;SP5000 AUTO;SPiQ-2 US;70x120;70x100;SPiQ US;SPiQ AUTO US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ-2;SP5000 Manuell US;SPiQ AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB101013|Alu-Einlegerahmen 80x110cm|alu insert frame 80x110cm|ST|4|12,6|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ AUTO US;80x110;80x120;SPiQ-2 US;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US
ZUB101014|Alu-Palette mit Hals 26x100cm_500|alu-pallet with neck 26x100cm _500|ST|3|87,892|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;50x70;70x100;80x110;80x120;90x120;70x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US
ZUB101015|Alu-Palette mit Hals 32x100cm_500|alu-pallet with neck 32x100cm_500|ST|3|95,36412|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;80x120;90x120;70x120;SPiQ US;SPiQ AUTO US;50x70;70x100;80x110;SPiQ AUTO;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB101016|Alu-Palette mit Hals 45x100cm_500|alu-pallet with neck 45x100cm_500|ST|3|101,30417|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x120;90x120;70x120;50x70;70x100;80x110;SPiQ US;SPiQ AUTO US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO
ZUB101018|Alu-Palette ohne Hals 52x100cm_500|alu-pallet without neck 52x100cm_500|ST|3|111,21808|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;80x120;90x120;70x120;SPiQ US;SPiQ AUTO US;50x70;70x100;80x110;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB101019|Alu-Palette ohne Hals 55x100cm_500|alu-pallet without neck 55x100cm_500|ST|3|110,36923|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;80x120;90x120;70x120;SPiQ US;SPiQ AUTO US;50x70;70x100;80x110;SPiQ AUTO;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB101020|Alu-Palette ohne Hals 75x120cm_600|alu-pallet without neck 75x120cm_600|ST|3|163,11714|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;70x100;80x110;80x120;90x120;70x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US
ZUB101022|Druckrakel 26cm 75-Shore|squeegee blade 26cm 75-shore|ST|1|10,76286|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB101023|Druckrakel 32cm 75-Shore|squeegee blade 32cm 75-shore|ST|1|10,13286|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB101024|Druckrakel 45cm 75-Shore|squeegee blade 45cm 75-shore|ST|1|11,545|SPSX;SPXC;SP5000 Manuell;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;45x70;50x70;70x100;SPiQ COMPACT AUTO US;43x50;45x55;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;Single Print WAND;SPiQ-2;SP5000 Manuell US;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ;SPiQ AUTO;SPiQ COMPACT;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
ZUB101025|Druckrakel 52cm 75-Shore|squeegee blade 52cm 75-shore|ST|1|16,6425|SPSX;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x55;45x70;50x70;70x100;80x110;80x120;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB101028|Druckrakel 72cm 75-Shore|squeegee blade 72cm 75-shore|ST|1|18,59|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;SPiQ US;SPiQ AUTO US;70x100;80x110;80x120;90x120;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB101029|Druckrakel 82cm 75-Shore|squeegee blade 82cm 75-shore|ST|1|23,163|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;SPiQ US;SPiQ AUTO US;80x110;80x120;90x120;SPiQ-2 US;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB101030|Flutrakel high 26cm|flood blade high 26cm|ST|2|8,84|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SPiQ COMPACT AUTO;70x120;45x55;50x70;70x100;80x110;80x120;90x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO US;SPiQ COMPACT AUTO US
ZUB101031|Flutrakel high 32cm|flood blade high 32cm|ST|2|11,13583|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SPiQ COMPACT AUTO;80x120;90x120;70x120;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO US;SPiQ COMPACT AUTO US;45x55;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB101032|Flutrakel high 45cm|flood blade high 45cm|ST|2|7,6875|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SPiQ COMPACT AUTO;70x120;45x55;50x70;70x100;80x110;80x120;90x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO US;SPiQ COMPACT AUTO US
ZUB101033|Flutrakel high 52cm|flood blade high 52cm|ST|2|11,225|SP5000 Manuell;SP5000 AUTO;70x120;80x110;80x120;90x120;50x70;70x100;SPiQ AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
ZUB101035|Flutrakel high 72cm|flood blade high 72cm|ST|2|13,04|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SP5000 Manuell US;80x120;90x120;70x120;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO US;70x100;80x110
ZUB101036|Flutrakel high 82cm|flood blade high 82cm|ST|2|15,414|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;SPiQ AUTO US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO
ZUB101037|Flutrakel low 26cm|flood blade low 26cm|ST|2|7,524|SPSX;SPXC;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SPiQ US;SPiQ COMPACT US;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;Single Print WAND;SPiQ-2
ZUB101038|Flutrakel low 32cm|flood blade low 32cm|ST|2|6,9575|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US;43x50;45x55
ZUB101039|Flutrakel low 45cm|flood blade low 45cm|ST|2|7,71281|SPSX;SPXC;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;70x100;80x110;80x120;SPiQ COMPACT US;43x50;45x55;45x70;50x70;SPiQ-2;SPiQ US;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;Single Print WAND
ZUB101040|Flutrakel low 52cm|flood blade low 52cm|ST|2|8,38667|SPiQ;SPSXLF;Single Print WAND;SPiQ-2;SPiQ US;50x70;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;70x100;80x110;80x120;90x120;70x120;SPiQ-2 US
